country,city,area,population
Argentina,Buenos Aires,2 766 890,46 082 160
Australia,Canberra,7 686 850,23 290 000
Brazil,Brasilia,8 511 965,201 009 622
Canada,Ottawa,9 976 139,33 660 000
China,Beijing,9 640 821,1 411 778 724
Egypt,Cairo,1 001 450,85 294 388
France,Paris,547 030,63 468 168
Germany,Berlin,357 021,81 843 809
India,New Delhi,3 287 590,1 223 442 000
Indonesia,Jakarta,1 904 556,253 609 643
Italy,Rome,301 340,60 776 531
Japan,Tokyo,377 944,127 103 388
Mexico,Mexico City,1 972 550,133 649 565
Russia,Moscow,17 234 287,147 182 123
Saudi Arabia,Riyadh,2 218 000,28 705 133
South Africa,Pretoria,1 219 912,50 586 757
South Korea,Seoul,98 480,48 580 000
Spain,Madrid,497 304,46 163 116
Turkey,Ankara,780 580,77 695 904
United Kingdom,London,244 820,62 435 709
United States of America,Washington,9 522 057,321 348 000
